title,price,location,bhk,area_sqft,price_per_sqft,furnishing,latitude,longitude
2 BHK Apartment in Vasant Kunj,35000,Vasant Kunj,2,1200,29.17,Semi-Furnished,28.5217,77.1587
3 BHK Villa in Defence Colony,75000,Defence Colony,3,2500,30.0,Fully Furnished,28.5675,77.2376
1 BHK Flat in Karol Bagh,18000,Karol Bagh,1,600,30.0,Semi-Furnished,28.6517,77.1905
2 BHK Apartment in Dwarka,28000,Dwarka,2,1100,25.45,Semi-Furnished,28.5921,77.046
3 BHK Apartment in Saket,65000,Saket,3,2200,29.55,Fully Furnished,28.5244,77.2066
1 BHK Studio in Hauz Khas,22000,Hauz Khas,1,700,31.43,Semi-Furnished,28.5494,77.2001
2 BHK Flat in Rohini,25000,Rohini,2,1000,25.0,Semi-Furnished,28.7496,77.0669
4 BHK Villa in Greater Kailash,95000,Greater Kailash,4,3500,27.14,Fully Furnished,28.5494,77.2425
2 BHK Apartment in Lajpat Nagar,32000,Lajpat Nagar,2,1150,27.83,Semi-Furnished,28.5677,77.2431
3 BHK Flat in Pitampura,48000,Pitampura,3,1800,26.67,Fully Furnished,28.6942,77.1314
1 BHK Apartment in Mayur Vihar,20000,Mayur Vihar,1,650,30.77,Semi-Furnished,28.6097,77.2983
2 BHK Villa in Vasant Vihar,55000,Vasant Vihar,2,1600,34.38,Fully Furnished,28.5568,77.1597
3 BHK Apartment in Janakpuri,42000,Janakpuri,3,1900,22.11,Semi-Furnished,28.6219,77.0854
2 BHK Flat in Rajouri Garden,30000,Rajouri Garden,2,1050,28.57,Semi-Furnished,28.6414,77.1199
4 BHK Penthouse in Punjabi Bagh,85000,Punjabi Bagh,4,3200,26.56,Fully Furnished,28.6692,77.1317
1 BHK Studio in Nehru Place,19000,Nehru Place,1,580,32.76,Semi-Furnished,28.5494,77.2501
3 BHK Villa in Chanakyapuri,120000,Chanakyapuri,3,3800,31.58,Fully Furnished,28.5923,77.1925
2 BHK Apartment in Preet Vihar,27000,Preet Vihar,2,1100,24.55,Semi-Furnished,28.6436,77.2973
3 BHK Flat in Malviya Nagar,58000,Malviya Nagar,3,2100,27.62,Fully Furnished,28.5288,77.2067
2 BHK Apartment in Tilak Nagar,24000,Tilak Nagar,2,950,25.26,Semi-Furnished,28.6422,77.0953
1 BHK Flat in Shahdara,16000,Shahdara,1,550,29.09,Semi-Furnished,28.6792,77.2881
3 BHK Villa in Safdarjung,98000,Safdarjung,3,3000,32.67,Fully Furnished,28.5667,77.2014
2 BHK Apartment in Paschim Vihar,29000,Paschim Vihar,2,1150,25.22,Semi-Furnished,28.6708,77.1025
4 BHK Villa in Jor Bagh,110000,Jor Bagh,4,3600,30.56,Fully Furnished,28.5828,77.2167
1 BHK Studio in Connaught Place,26000,Connaught Place,1,750,34.67,Fully Furnished,28.6304,77.2177
2 BHK Flat in Green Park,45000,Green Park,2,1400,32.14,Fully Furnished,28.5494,77.2069
3 BHK Apartment in Model Town,52000,Model Town,3,2000,26.0,Semi-Furnished,28.7196,77.1906
2 BHK Villa in Panchsheel Park,68000,Panchsheel Park,2,1800,37.78,Fully Furnished,28.5503,77.2142
1 BHK Flat in Laxmi Nagar,17000,Laxmi Nagar,1,600,28.33,Semi-Furnished,28.6345,77.2771
3 BHK Apartment in Kalkaji,50000,Kalkaji,3,1950,25.64,Fully Furnished,28.5485,77.2581